well_id,geology,n_test,rmse_m,mae_m,r2,nse
SGWL042-OW,Vindhyan,14,1.33,1.17,0.248,0.248
Tikm016-PZ,Granite,24,1.331,1.01,0.478,0.478
CHHAT020-OW,Granite,13,1.336,1.075,0.407,0.407
SGWL011A-OW,Vindhyan,12,1.338,1.242,-1.0,-1.0
SGR025-OW,Vindhyan,14,1.347,1.136,0.614,0.614
TKM028-OW,Granite,14,1.348,1.036,0.135,0.135
SIND074-OW,Basalt,14,1.349,1.225,0.751,0.751
SGR063-OW,Basalt,14,1.349,1.05,0.765,0.765
CHHAT070-OW,Granite,13,1.353,1.133,-0.291,-0.291
SUJN123-OW,Basalt,14,1.355,1.055,0.515,0.515
TKM008-OW,Granite,14,1.364,1.096,-0.022,-0.022
SIND071-OW,Basalt,14,1.364,1.165,-0.11,-0.11
SGR061-OW,Basalt,14,1.366,1.188,0.789,0.789
SIND145-OW,Basalt,14,1.369,1.115,0.582,0.582
CHHAT040-OW,Granite,13,1.37,1.188,-0.117,-0.117
TKM076-OW,Granite,13,1.373,1.069,0.366,0.366
SJBP031-OW,Unknown,14,1.374,1.078,-0.057,-0.057
SUJN007-OW,Basalt,14,1.374,0.952,0.776,0.776
SIND007-OW,Basalt,14,1.38,1.216,0.762,0.762
TKM012-OW,Granite,13,1.383,1.131,0.111,0.111
TKM084A-OW,Granite,13,1.384,1.028,0.351,0.351
SGR124-OW,Basalt,14,1.385,1.127,0.84,0.84
BPL033A-OW,Basalt,14,1.389,1.206,0.753,0.753
SGUN027-OW,Basalt,14,1.389,1.243,0.77,0.77
SGUN004-OW,Basalt,14,1.39,1.17,0.693,0.693
SGR051-OW,Basalt,14,1.394,1.125,0.69,0.69
SGR125-OW,Basalt,14,1.394,1.094,0.623,0.623
BPL095A-OW,Basalt,14,1.395,1.156,0.654,0.654
SGR108-OW,Vindhyan,14,1.395,1.153,0.876,0.876
Chhat004-PZ,Granite,55,1.396,1.12,0.324,0.324
BPL010A-OW,Basalt,14,1.408,1.249,0.58,0.58
SGR049-OW,Basalt,14,1.41,1.137,0.874,0.874
SAGAR005-PZ,Basalt,61,1.41,1.014,0.7,0.7
SIND064-OW,Basalt,13,1.41,1.005,0.339,0.339
TKM061-OW,Granite,13,1.413,1.156,0.048,0.048
CHHAT081-OW,Granite,13,1.413,1.191,0.085,0.085
BPL039-OW,Basalt,14,1.416,1.062,0.606,0.606
BPL060-OW,Vindhyan,14,1.417,1.272,0.791,0.791
SGR031-OW,Basalt,14,1.417,0.896,0.332,0.332
TKM077-OW,Granite,13,1.42,1.2,0.515,0.515
