date,rainfall_mm,well_id,lat,lon
1986-07-01,321.0,SGWL047A-OW,26.115,78.011389
1986-08-01,141.3,SGWL047A-OW,26.115,78.011389
1986-09-01,8.7,SGWL047A-OW,26.115,78.011389
1986-10-01,1.6,SGWL047A-OW,26.115,78.011389
1986-11-01,0.5,SGWL047A-OW,26.115,78.011389
1986-12-01,1.6,SGWL047A-OW,26.115,78.011389
1987-01-01,24.7,SGWL047A-OW,26.115,78.011389
1987-02-01,12.1,SGWL047A-OW,26.115,78.011389
1987-03-01,2.3,SGWL047A-OW,26.115,78.011389
1987-04-01,0.0,SGWL047A-OW,26.115,78.011389
1987-05-01,10.8,SGWL047A-OW,26.115,78.011389
1987-06-01,17.8,SGWL047A-OW,26.115,78.011389
1987-07-01,27.5,SGWL047A-OW,26.115,78.011389
1987-08-01,184.2,SGWL047A-OW,26.115,78.011389
1987-09-01,117.5,SGWL047A-OW,26.115,78.011389
1987-10-01,22.700000000000003,SGWL047A-OW,26.115,78.011389
1987-11-01,0.0,SGWL047A-OW,26.115,78.011389
1987-12-01,11.7,SGWL047A-OW,26.115,78.011389
1988-01-01,9.5,SGWL047A-OW,26.115,78.011389
1988-02-01,3.3000000000000003,SGWL047A-OW,26.115,78.011389
1988-03-01,1.8,SGWL047A-OW,26.115,78.011389
1988-04-01,4.3,SGWL047A-OW,26.115,78.011389
1988-05-01,6.3,SGWL047A-OW,26.115,78.011389
1988-06-01,115.60000000000001,SGWL047A-OW,26.115,78.011389
1988-07-01,320.5,SGWL047A-OW,26.115,78.011389
1988-08-01,306.4,SGWL047A-OW,26.115,78.011389
1988-09-01,95.3,SGWL047A-OW,26.115,78.011389
1988-10-01,39.699999999999996,SGWL047A-OW,26.115,78.011389
1988-11-01,0.7,SGWL047A-OW,26.115,78.011389
1988-12-01,0.5,SGWL047A-OW,26.115,78.011389
1989-01-01,4.9,SGWL047A-OW,26.115,78.011389
1989-02-01,1.0,SGWL047A-OW,26.115,78.011389
1989-03-01,9.9,SGWL047A-OW,26.115,78.011389
1989-04-01,0.0,SGWL047A-OW,26.115,78.011389
1989-05-01,0.0,SGWL047A-OW,26.115,78.011389
1989-06-01,54.0,SGWL047A-OW,26.115,78.011389
1989-07-01,169.3,SGWL047A-OW,26.115,78.011389
1989-08-01,174.8,SGWL047A-OW,26.115,78.011389
1989-09-01,126.10000000000001,SGWL047A-OW,26.115,78.011389
1989-10-01,0.4,SGWL047A-OW,26.115,78.011389
1989-11-01,0.0,SGWL047A-OW,26.115,78.011389
1989-12-01,13.3,SGWL047A-OW,26.115,78.011389
1990-01-01,0.0,SGWL047A-OW,26.115,78.011389
1990-02-01,36.4,SGWL047A-OW,26.115,78.011389
1990-03-01,2.2,SGWL047A-OW,26.115,78.011389
1990-04-01,0.8,SGWL047A-OW,26.115,78.011389
1990-05-01,8.3,SGWL047A-OW,26.115,78.011389
1990-06-01,127.3,SGWL047A-OW,26.115,78.011389
1990-07-01,209.9,SGWL047A-OW,26.115,78.011389
1990-08-01,227.1,SGWL047A-OW,26.115,78.011389
1990-09-01,185.2,SGWL047A-OW,26.115,78.011389
1990-10-01,2.3,SGWL047A-OW,26.115,78.011389
1990-11-01,0.9,SGWL047A-OW,26.115,78.011389
1990-12-01,5.1,SGWL047A-OW,26.115,78.011389
1991-01-01,4.9,SGWL047A-OW,26.115,78.011389
1991-02-01,4.800000000000001,SGWL047A-OW,26.115,78.011389
1991-03-01,9.6,SGWL047A-OW,26.115,78.011389
