well_id,geology_type,aquifer_classification,confidence
PANNA048-OW,Vindhyan,Unknown,0.5
PANNA049-OW,Vindhyan,Unknown,0.5
PANNA050-OW,Vindhyan,Unknown,0.5
PANNA051-OW,Vindhyan,Weathered,1.0
PANNA052-OW,Granite,Weathered,0.5
PANNA053-OW,Granite,Unknown,0.5
PANNA054-OW,Granite,Unknown,0.5
PANNA055-OW,Granite,Unknown,0.5
PANNA057A-OW,Vindhyan,Weathered,0.5
PANNA058-OW,Vindhyan,Unknown,0.5
PANNA059A-OW,Vindhyan,Weathered,0.5
PANNA060A-OW,Vindhyan,Weathered,0.5
PANNA061-OW,Vindhyan,Unknown,0.5
PANNA062A-OW,Vindhyan,Weathered,0.5
PANNA063A-OW,Vindhyan,Weathered,0.5
PANNA064-OW,Vindhyan,Unknown,0.5
PANNA065A-OW,Vindhyan,Weathered,0.5
PANNA066-OW,Vindhyan,Unknown,0.5
PANNA067A-OW,Vindhyan,Weathered,0.5
PANNA068-OW,Vindhyan,Unknown,0.5
PANNA069-OW,Granite,Unknown,0.5
PANNA071A-OW,Granite,Weathered,0.5
PANNA072A-OW,Granite,Weathered,0.5
PANNA073A-OW,Granite,Weathered,0.5
PANNA074A-OW,Granite,Weathered,0.5
PANNA075A-OW,Vindhyan,Weathered,0.5
PANNA076A-OW,Vindhyan,Weathered,0.5
PANNA077-OW,Vindhyan,Unknown,0.5
PANNA078A-OW,Vindhyan,Weathered,0.5
PANNA079A-OW,Vindhyan,Weathered,0.5
PANNA080A-OW,Vindhyan,Weathered,0.5
PANNA081-OW,Vindhyan,Unknown,0.5
PANNA082A-OW,Vindhyan,Weathered,0.5
PANNA083A-OW,Vindhyan,Weathered,0.5
PANNA084A-OW,Vindhyan,Weathered,0.5
PANNA085A-OW,Vindhyan,Weathered,0.5
PANNA086A-OW,Vindhyan,Weathered,0.5
PANNA087A-OW,Vindhyan,Weathered,0.5
PANNA088-OW,Vindhyan,Unknown,0.5
PANNA089A-OW,Vindhyan,Weathered,0.5
PANNA090-OW,Vindhyan,Unknown,0.5
PANNA091A-OW,Vindhyan,Weathered,0.5
PANNA092A-OW,Vindhyan,Weathered,0.5
PANNA093A-OW,Vindhyan,Weathered,0.5
PANNA094A-OW,Vindhyan,Weathered,0.5
PANNA095-OW,Vindhyan,Weathered,0.5
PANNA096A-OW,Vindhyan,Weathered,0.5
PANNA097-OW,Vindhyan,Weathered,0.5
PANNA098A-OW,Vindhyan,Weathered,0.5
PANNA099A-OW,Vindhyan,Weathered,0.5
PANNA100A-OW,Vindhyan,Weathered,0.5
PANNA102-OW,Vindhyan,Unknown,0.5
PANNA103-OW,Granite,Unknown,0.33
PANNA104-OW,Vindhyan,Weathered,0.5
PANNA-PZ-01,Vindhyan,Weathered,1.0
PANNA-PZ-02,Vindhyan,Weathered,1.0
PANNA-PZ-03,Vindhyan,Weathered,0.91
PANOA022-OWD,Unknown,Unknown,0.0
SAGAR0010-PZ,Vindhyan,Weathered,0.6
SAGAR001-PZ,Basalt,Weathered,1.0
SAGAR002-PZ,Basalt,Weathered,0.89
SAGAR005-PZ,Basalt,Weathered,0.67
SAGAR006-PZ,Basalt,Fractured,0.75
SAGAR008,Basalt,Weathered,0.6
SAGAR009-PZ,Basalt,Weathered,0.83
SAGAR011-PZ,Vindhyan,Weathered,1.0
SAGAR012-PZ,Vindhyan,Weathered,0.67
SAGAR013-PZ,Basalt,Weathered,0.67
SAGAR014-PZ,Basalt,Weathered,0.78
SAGAR015-PZ,Basalt,Weathered,0.67
SAGAR-PDS-016-PZ,Vindhyan,Weathered,1.0
SAGAR-PDS-017-PZ,Vindhyan,Weathered,0.83
SAGAR-PDS-018-PZ,Vindhyan,Weathered,1.0
SAGAR-PDS-019-PZ,Basalt,Weathered,0.6
SAGAR-PDS-020-PZ,Vindhyan,Weathered,1.0
SAG-PZ-03,Vindhyan,Weathered,1.0
SAG-PZ-04,Vindhyan,Fractured,1.0
SAG-PZ-07,Vindhyan,Weathered,1.0
SGR001-OW,Granite,Weathered,0.5
SGR002-OW,Unknown,Unknown,0.0
SGR003-OW,Basalt,Unknown,0.5
SGR004-OW,Basalt,Unknown,0.5
SGR005-OW,Vindhyan,Unknown,0.5
SGR006-OW,Basalt,Weathered,0.67
SGR008-OW,Basalt,Weathered,0.67
SGR009-OW,Vindhyan,Weathered,1.0
SGR011-OW,Basalt,Weathered,1.0
SGR012-OW,Basalt,Weathered,0.67
SGR013-OW,Basalt,Weathered,0.67
SGR014-OW,Basalt,Weathered,1.0
SGR015-OW,Basalt,Weathered,1.0
SGR016-OW,Basalt,Weathered,0.67
SGR018-OW,Vindhyan,Unknown,1.0
SGR019-OW,Basalt,Weathered,1.0
SGR021-OW,Vindhyan,Unknown,0.5
SGR022-OW,Vindhyan,Weathered,1.0
SGR023-OW,Vindhyan,Weathered,1.0
SGR024-OW,Vindhyan,Weathered,1.0
SGR025-OW,Vindhyan,Weathered,1.0
SGR026-OW,Vindhyan,Weathered,1.0
SGR028-OW,Basalt,Unknown,0.5
SGR029-OW,Basalt,Weathered,0.5
SGR030-OW,Basalt,Weathered,1.0
