Well No,Well Type,District,Tahsil / Taluk,Block / Mandal,Village,Northing,Easting,Elevation of Ground Level,Aquifer Zone,Command Area,Coord Validated,geology_type,aquifer_classification
TKM049-OW,Observation Well,Tikamgarh,Tikamgarh,Tikamgarh,Sujara,24.633333,79.143056,316.51,,,False,Granite,Weathered
TKM050-OW,Observation Well,Tikamgarh,Tikamgarh,Tikamgarh,Badagown,24.565556,79.028333,344.04,,,False,Granite,Weathered
TKM051-OW,Observation Well,Tikamgarh,Jatara,Jatara,Digoda,24.969444,78.846389,338.305,,,False,Granite,Weathered
TKM052-OW,Observation Well,Tikamgarh,Jatara,Jatara,Barmatal,24.908889,78.833056,355.595,,,False,Granite,Weathered
TKM053-OW,Observation Well,Tikamgarh,Jatara,Jatara,Goor,24.926111,78.769444,351.09,,,False,Granite,Weathered
TKM054-OW,Observation Well,Tikamgarh,Jatara,Jatara,Dargown khurd,24.953333,78.718889,336.575,,,False,Granite,Weathered
TKM055-OW,Observation Well,Tikamgarh,Jatara,Jatara,Mohan garh,24.997778,78.676389,325.09,,,False,Granite,Weathered
TKM056-OW,Observation Well,Tikamgarh,Jatara,Jatara,Mohara,24.586944,79.048333,284.18,,,False,Granite,Weathered
TKM057-OW,Observation Well,Tikamgarh,Jatara,Jatara,Satgown,25.049722,78.928056,287.53,,,False,Granite,Weathered
TKM058-OW,Observation Well,Tikamgarh,Jatara,Jatara,Lidhora,25.066111,78.864167,260.89,,,False,Granite,Weathered
TKM059-OW,Observation Well,Tikamgarh,Jatara,Jatara,Machi,24.958056,79.011944,294.855,,,False,Granite,Weathered
TKM060-OW,Observation Well,Tikamgarh,Jatara,Jatara,Larkhurd,24.900278,79.010556,265.395,,,False,Granite,Weathered
TKM061-OW,Observation Well,Tikamgarh,Niwari,Niwari,Ladwari,25.263056,78.751944,248.35,,,False,Granite,Weathered
TKM062-OW,Observation Well,Tikamgarh,Niwari,Niwari,Kuluwa,25.298611,78.778611,238.72,,,False,Granite,Weathered
TKM063A-OW,Observation Well,Tikamgarh,Niwari,Niwari,Mudara,25.359444,78.838611,239.0,,,False,Granite,Weathered
TKM064-OW,Observation Well,Tikamgarh,Niwari,Niwari,Urdora,25.328611,78.921111,219.43,,,False,Granite,Weathered
TKM065-OW,Observation Well,Tikamgarh,Niwari,Niwari,Chakarpur,25.288889,78.518611,217.6,,,False,Granite,Weathered
TKM066A-OW,Observation Well,Tikamgarh,Niwari,Niwari,Puchhikargown,25.451944,78.825556,189.18,,,False,Granite,Weathered
TKM067-OW,Observation Well,Tikamgarh,Niwari,Niwari,Sakat bheroo,25.503333,78.849722,189.375,,,False,Granite,Weathered
TKM068-OW,Observation Well,Tikamgarh,Palera,Palera,Laroon,25.060833,79.276111,239.85,,,False,Granite,Weathered
TKM069A-OW,Observation Well,Tikamgarh,Palera,Palera,Rampura Nibavri,24.933611,79.208056,264.0,,,False,Granite,Weathered
TKM070A-OW,Observation Well,Tikamgarh,Palera,Palera,Sanjay Nagar,25.040833,79.186667,236.0,,,False,Granite,Weathered
TKM071A-OW,Observation Well,Tikamgarh,Palera,Palera,Kharjupura,25.069444,79.076389,261.0,,,False,Granite,Weathered
TKM072A-OW,Observation Well,Tikamgarh,Palera,Palera,Kanera,25.161944,79.098056,239.0,,,False,Granite,Weathered
TKM073-OW,Observation Well,Tikamgarh,Palera,Palera,Jewar,25.248333,78.999444,224.25,,,False,Granite,Weathered
TKM074-OW,Observation Well,Tikamgarh,Palera,Palera,Chandera,25.111944,78.980278,269.77,,,False,Granite,Weathered
TKM075-OW,Observation Well,Tikamgarh,Niwari,Niwari,Gurh Kodar,25.487222,79.910556,213.76,,,False,Granite,Weathered
TKM076-OW,Observation Well,Tikamgarh,Baldevgarh,Baldevgarh,Kharella,24.678056,79.778056,291.77,,,False,Granite,Weathered
TKM077-OW,Observation Well,Tikamgarh,Baldevgarh,Baldevgarh,Sarkar,24.735278,79.242778,284.615,,,False,Granite,Weathered
TKM078-OW,Observation Well,Tikamgarh,Baldevgarh,Baldevgarh,Dargown,24.729444,79.203333,307.43,,,False,Granite,Weathered
TKM079A-OW,Observation Well,Tikamgarh,Baldevgarh,Baldevgarh,Bhelsi,24.7875,79.126667,331.3415,,,False,Granite,Weathered
